,ST_EXP
1444,187.5
1445,187.5
1446,157.5
1447,187.5
1448,172.5
1449,202.5
1450,202.5
1451,187.5
1452,187.5
1453,195.0
1454,180.0
1455,187.5
1456,187.5
1457,187.5
1458,202.5
1459,180.0
1460,142.5
1461,157.5
1462,187.5
1463,187.5
1464,157.5
1465,142.5
1466,142.5
1467,150.0
1468,172.5
1469,172.5
1470,142.5
1471,172.5
1472,157.5
1473,142.5
1474,172.5
1475,187.5
1476,157.5
1477,165.0
1478,195.0
1479,157.5
1480,187.5
1481,172.5
1482,157.5
1483,187.5
1484,172.5
1485,195.0
1486,187.5
1487,172.5
1488,157.5
1489,195.0
1490,187.5
1491,187.5
1492,187.5
1493,187.5
1494,180.0
1495,172.5
1496,195.0
1497,187.5
1498,217.5
1499,187.5
1500,232.5
1501,202.5
1502,172.5
1503,210.0
1504,210.0
1505,210.0
1506,187.5
1507,172.5
1508,187.5
1509,165.0
1510,202.5
1511,202.5
1512,202.5
1513,187.5
1514,187.5
1515,172.5
1516,210.0
1517,172.5
1518,202.5
1519,202.5
1520,247.5
1521,210.0
1522,187.5
1523,217.5
1524,187.5
1525,187.5
1526,187.5
1527,187.5
1528,187.5
1529,165.0
1530,187.5
1531,202.5
1532,202.5
1533,202.5
1534,187.5
1535,202.5
1536,187.5
1537,187.5
1538,187.5
1539,240.0
1540,195.0
1541,202.5
1542,187.5
1543,142.5
1544,172.5
1545,187.5
1546,165.0
1547,187.5
1548,202.5
1549,202.5
1550,187.5
1551,187.5
1552,187.5
1553,217.5
1554,187.5
1555,157.5
1556,172.5
1557,187.5
1558,187.5
1559,202.5
1560,172.5
1561,165.0
1562,172.5
1563,157.5
1564,165.0
1565,157.5
1566,187.5
1567,187.5
1568,217.5
1569,142.5
1570,225.0
1571,45.0
1572,217.5
1573,187.5
1574,195.0
1575,165.0
1576,157.5
1577,165.0
1578,195.0
1579,172.5
1580,187.5
1581,187.5
1582,187.5
1583,247.5
1584,135.0
1585,172.5
1586,112.5
1587,157.5
1588,165.0
1589,142.5
1590,97.5
1591,112.5
1592,97.5
1593,142.5
1594,202.5
1595,210.0
1596,105.0
1597,142.5
1598,127.5
1599,112.5
1600,112.5
1601,157.5
1602,157.5
1603,142.5
1604,157.5
1605,112.5
1606,142.5
1607,97.5
1608,142.5
1609,157.5
1610,97.5
1611,157.5
1612,157.5
1613,105.0
1614,112.5
1615,97.5
1616,127.5
1617,180.0
1618,97.5
1619,97.5
1620,97.5
1621,157.5
1622,112.5
1623,97.5
1624,127.5
1625,142.5
1626,67.5
1627,112.5
1628,112.5
1629,97.5
1630,105.0
1631,112.5
1632,142.5
1633,142.5
1634,112.5
1635,112.5
1636,120.0
1637,142.5
1638,142.5
1639,112.5
1640,112.5
1641,112.5
1642,105.0
1643,142.5
1644,142.5
1645,97.5
1646,135.0
1647,82.5
1648,165.0
1649,67.5
1650,97.5
1651,97.5
1652,112.5
1653,127.5
1654,97.5
1655,142.5
1656,112.5
1657,180.0
1658,217.5
1659,157.5
1660,90.0
1661,112.5
1662,127.5
1663,157.5
1664,202.5
1665,210.0
1666,195.0
1667,247.5
1668,202.5
1669,52.5
1670,105.0
1671,97.5
1672,105.0
1673,120.0
1674,112.5
1675,150.0
1676,97.5
1677,157.5
1678,127.5
1679,112.5
1680,247.5
1681,232.5
1682,210.0
1683,187.5
1684,195.0
1685,127.5
1686,217.5
1687,187.5
1688,165.0
1689,127.5
1690,112.5
1691,112.5
1692,127.5
1693,127.5
1694,195.0
1695,150.0
1696,112.5
1697,157.5
1698,142.5
1699,82.5
1700,127.5
1701,180.0
1702,202.5
1703,225.0
1704,142.5
1705,187.5
1706,180.0
1707,195.0
1708,165.0
1709,217.5
1710,97.5
1711,142.5
1712,157.5
1713,142.5
1714,172.5
1715,187.5
1716,150.0
1717,195.0
1718,157.5
1719,187.5
1720,135.0
1721,142.5
1722,135.0
1723,142.5
1724,112.5
1725,150.0
1726,157.5
1727,112.5
1728,172.5
1729,127.5
1730,112.5
1731,112.5
1732,97.5
1733,165.0
1734,112.5
1735,112.5
1736,112.5
1737,172.5
1738,142.5
1739,112.5
1740,120.0
1741,195.0
1742,135.0
1743,112.5
1744,157.5
1745,142.5
1746,165.0
1747,52.5
1748,60.0
1749,157.5
1750,165.0
1751,180.0
1752,202.5
1753,97.5
1754,195.0
1755,270.0
1756,232.5
1757,277.5
1758,247.5
1759,202.5
1760,202.5
1761,172.5
1762,187.5
1763,202.5
1764,172.5
1765,202.5
1766,217.5
1767,202.5
1768,187.5
1769,165.0
1770,142.5
1771,142.5
1772,127.5
1773,172.5
1774,135.0
1775,142.5
1776,157.5
1777,150.0
1778,165.0
1779,142.5
1780,142.5
1781,142.5
1782,142.5
1783,142.5
1784,165.0
1785,180.0
1786,150.0
1787,142.5
1788,142.5
1789,127.5
1790,150.0
1791,157.5
1792,142.5
1793,142.5
1794,142.5
1795,142.5
1796,172.5
1797,142.5
1798,142.5
1799,142.5
1800,127.5
1801,157.5
1802,172.5
1803,142.5
1804,142.5
1805,142.5
1806,142.5
1807,142.5
1808,142.5
1809,142.5
1810,157.5
1811,150.0
1812,142.5
1813,150.0
1814,142.5
1815,172.5
1816,142.5
1817,127.5
1818,150.0
1819,202.5
1820,142.5
1821,157.5
1822,142.5
1823,142.5
1824,142.5
1825,187.5
1826,172.5
1827,150.0
1828,142.5
1829,127.5
1830,187.5
1831,142.5
1832,180.0
1833,142.5
1834,142.5
1835,202.5
1836,172.5
1837,150.0
1838,150.0
1839,142.5
1840,142.5
1841,150.0
1842,142.5
1843,142.5
1844,150.0
1845,142.5
1846,142.5
1847,142.5
1848,142.5
1849,172.5
1850,142.5
1851,142.5
1852,142.5
1853,142.5
1854,142.5
1855,142.5
1856,142.5
1857,172.5
1858,142.5
1859,142.5
1860,142.5
1861,142.5
1862,142.5
1863,127.5
1864,142.5
1865,135.0
1866,142.5
1867,142.5
1868,142.5
1869,142.5
1870,142.5
1871,172.5
1872,142.5
1873,157.5
1874,150.0
1875,142.5
1876,142.5
1877,142.5
1878,142.5
1879,142.5
1880,142.5
1881,142.5
1882,127.5
1883,172.5
1884,172.5
1885,142.5
1886,172.5
1887,150.0
1888,142.5
1889,142.5
1890,127.5
1891,142.5
1892,172.5
1893,150.0
1894,172.5
1895,142.5
1896,142.5
1897,142.5
1898,142.5
1899,142.5
1900,142.5
1901,142.5
1902,142.5
1903,142.5
1904,142.5
1905,142.5
1906,187.5
1907,142.5
1908,142.5
1909,172.5
1910,150.0
1911,142.5
1912,172.5
1913,142.5
1914,142.5
1915,142.5
1916,142.5
1917,142.5
1918,127.5
1919,142.5
1920,142.5
1921,142.5
1922,150.0
1923,180.0
1924,157.5
1925,195.0
1926,180.0
1927,172.5
1928,157.5
1929,142.5
1930,142.5
1931,150.0
1932,142.5
1933,142.5
1934,165.0
1935,135.0
1936,187.5
1937,142.5
1938,150.0
1939,157.5
1940,142.5
1941,142.5
1942,127.5
1943,157.5
1944,142.5
1945,142.5
1946,135.0
1947,142.5
1948,127.5
1949,135.0
1950,127.5
1951,142.5
1952,135.0
1953,135.0
1954,127.5
1955,135.0
1956,127.5
1957,165.0
1958,142.5
1959,150.0
1960,142.5
1961,172.5
1962,180.0
1963,187.5
1964,187.5
1965,142.5
1966,157.5
1967,172.5
1968,202.5
1969,172.5
1970,150.0
1971,172.5
1972,142.5
1973,172.5
1974,172.5
1975,165.0
1976,150.0
1977,157.5
1978,172.5
1979,142.5
1980,150.0
1981,180.0
1982,150.0
1983,142.5
1984,172.5
1985,202.5
1986,157.5
1987,195.0
1988,142.5
1989,180.0
1990,187.5
1991,150.0
1992,157.5
1993,187.5
1994,165.0
1995,180.0
1996,172.5
1997,172.5
1998,172.5
1999,195.0
2000,202.5
2001,180.0
2002,202.5
2003,142.5
2004,157.5
2005,157.5
2006,172.5
2007,142.5
2008,150.0
2009,187.5
2010,187.5
2011,150.0
2012,142.5
2013,187.5
2014,142.5
2015,142.5
2016,165.0
2017,187.5
2018,187.5
2019,112.5
2020,120.0
2021,180.0
2022,142.5
2023,165.0
2024,172.5
2025,135.0
2026,187.5
2027,165.0
2028,202.5
2029,150.0
2030,127.5
2031,210.0
2032,187.5
2033,135.0
2034,195.0
2035,157.5
2036,142.5
2037,142.5
2038,157.5
2039,165.0
2040,187.5
2041,202.5
2042,142.5
2043,97.5
2044,172.5
2045,172.5
2046,172.5
2047,157.5
2048,142.5
2049,202.5
2050,142.5
2051,187.5
2052,172.5
2053,150.0
2054,157.5
2055,172.5
2056,150.0
2057,180.0
2058,142.5
2059,187.5
2060,142.5
2061,172.5
2062,157.5
2063,142.5
2064,97.5
2065,157.5
2066,195.0
2067,217.5
2068,202.5
2069,172.5
2070,142.5
2071,187.5
2072,165.0
2073,157.5
2074,187.5
2075,142.5
2076,172.5
2077,165.0
2078,187.5
2079,180.0
2080,172.5
2081,187.5
2082,202.5
2083,172.5
2084,187.5
2085,150.0
2086,172.5
2087,165.0
2088,172.5
2089,90.0
2090,172.5
2091,150.0
2092,157.5
2093,172.5
2094,172.5
2095,172.5
2096,172.5
2097,187.5
2098,135.0
2099,135.0
2100,187.5
2101,172.5
2102,180.0
2103,187.5
2104,195.0
2105,202.5
2106,217.5
2107,180.0
2108,157.5
2109,172.5
2110,172.5
2111,142.5
2112,172.5
2113,232.5
2114,195.0
2115,172.5
2116,150.0
2117,195.0
2118,187.5
2119,187.5
2120,172.5
2121,135.0
2122,135.0
2123,172.5
2124,172.5
2125,172.5
2126,187.5
2127,195.0
2128,135.0
2129,210.0
2130,202.5
2131,180.0
2132,202.5
2133,172.5
2134,187.5
2135,217.5
2136,195.0
